tAI_full	flag_Kon	protein_synthesis_rate	real_protein_synthesis_per_mrna	AvgExp_Steinmetz	AvgmRNA_percell_Holstege	Gene	AVGEXP_YPD	DM_YPD	tAI_full	AvgExp_Steinmetz	DM_Steinmetz	Kon	real_protein_synthesis_per_mrna	
I2TLE	Intermediate2	NA	NA	Int2.mRNA	NA	CAB2	119.5	0.122	0.368123464816109	1.198	0.064	2.762	NA	
I2TLE	Low	LowProtSyn	LowProtSyn.mRNA	Low.mRNA	NA	CAB3	183	0.188	0.364689686814899	0.525	-0.067	1.153	0.006	
LowTLE	High	NA	NA	Int2.mRNA	NA	CAB5	84.5	4.188	0.342971117970133	1.169	-0.131	29.61	NA	
LowTLE	Intermediate1	NA	NA	Low.mRNA	Low.mRNA	CAC2	85	-1.44	0.285114006578967	0.592	-0.11	5.236	NA	
LowTLE	Low	NA	NA	Low.mRNA	NA	CAF120	65	-2.313	0.341013940253008	0.169	-0.029	0.552	NA	
HighTLE	High	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	High.mRNA	CAF20	1388	-2.385	0.468208397687188	11.842	-0.098	28.772	0.051	
LowTLE	High	NA	NA	Int2.mRNA	NA	CAF40	359.5	-2.512	0.343437072312734	1.736	-0.089	45.578	NA	
HighTLE	High	HighProtSyn	I2ProtSyn.mRNA	High.mRNA	NA	CAM1	1163.5	-0.022	0.510980970760513	6.505	-0.077	13.966	0.016	
HighTLE	Intermediate1	NA	NA	Int1.mRNA	Int1.mRNA	CAN1	651.5	-2.175	0.423462638350957	3.245	-0.074	11.837	NA	
I1TLE	Intermediate2	HighProtSyn	I1ProtSyn.mRNA	Int1.mRNA	Int1.mRNA	CAP1	332	1.028	0.392301077605425	2.327	-0.099	4.333	0.094	
I1TLE	High	HighProtSyn	HighProtSyn.mRNA	Int2.mRNA	Int2.mRNA	CAP2	344	1.671	0.388723481111805	1.456	-0.11	21.356	0.122	
I1TLE	Low	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	Int2.mRNA	CAR1	1426.5	9.607	0.405617007251051	3.392	0.561	0.939	0.158	
HighTLE	Low	NA	NA	Low.mRNA	Low.mRNA	CAR2	855	20.346	0.432223347027832	0.819	0.145	0.916	NA	
LowTLE	Low	NA	NA	Int2.mRNA	NA	CAX4	136.5	0.4	0.317721438010949	1.314	-0.051	0.679	NA	
I2TLE	Intermediate1	NA	NA	High.mRNA	NA	CBC2	307	-1.237	0.372092427225228	5.822	0.134	4.848	NA	
I1TLE	Low	NA	NA	Low.mRNA	Int1.mRNA	CBF1	299	-0.691	0.384947548835157	0.832	-0.076	1.162	NA	
HighTLE	Low	HighProtSyn	LowProtSyn.mRNA	High.mRNA	High.mRNA	CBF5	1151.5	4.705	0.495158537431372	16.53	-0.115	0.594	0.009	
LowTLE	Intermediate2	NA	NA	Low.mRNA	Low.mRNA	CBP3	256	0.534	0.341239733162082	0.98	-0.009	4.398	NA	
I2TLE	High	NA	NA	Low.mRNA	Low.mRNA	CBP6	207	-0.039	0.37116316341326	0.485	-0.251	27.407	NA	
I1TLE	Low	IntProtSyn	LowProtSyn.mRNA	High.mRNA	High.mRNA	CBR1	228.5	-0.861	0.393340024926335	8.15	-0.119	0.81	0.007	
I2TLE	Intermediate2	NA	NA	Int1.mRNA	Low.mRNA	CCA1	281	2.234	0.350297219435571	2.26	0.189	3.166	NA	
I2TLE	Intermediate2	NA	NA	Low.mRNA	Low.mRNA	CCC2	65	0.48	0.359201866505781	0.322	-0.088	3.844	NA	
I1TLE	Intermediate1	NA	NA	Int1.mRNA	Int2.mRNA	CCP1	132.5	2.95	0.397681344022281	2.177	-0.015	6.477	NA	
I2TLE	Intermediate1	NA	NA	Low.mRNA	NA	CCR4	312	-1.433	0.366092051533596	0.799	-0.06	5.348	NA	
HighTLE	Intermediate1	NA	NA	High.mRNA	NA	CCW12	15061	4.567	0.599561435908207	375.45	-0.066	10	NA	
HighTLE	Intermediate1	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	NA	CCW14	605	-2.052	0.45130778887073	12.928	0.009	9.082	0.056	
I1TLE	Intermediate1	IntProtSyn	I2ProtSyn.mRNA	Int1.mRNA	Int2.mRNA	CDC10	533.5	2.317	0.383833809572792	2.252	-0.093	5.474	0.042	
I1TLE	High	NA	NA	Int1.mRNA	Int1.mRNA	CDC11	359	1.402	0.400333325990746	2.798	-0.087	15.357	NA	
I2TLE	Intermediate1	NA	NA	Low.mRNA	NA	CDC123	61.5	-3.241	0.355243347902889	0.61	-0.046	5.481	NA	
LowTLE	Intermediate1	NA	NA	Int2.mRNA	Low.mRNA	CDC14	91.5	0.346	0.343029885154496	1.557	-0.035	6.644	NA	
HighTLE	Intermediate1	NA	NA	High.mRNA	NA	CDC19	11386.5	3.835	0.623156181052854	219.337	-0.042	10	NA	
LowTLE	Intermediate2	NA	NA	Low.mRNA	NA	CDC24	114.5	-1.728	0.330031244587173	0.659	-0.076	3.335	NA	
I1TLE	Intermediate2	LowProtSyn	LowProtSyn.mRNA	Int2.mRNA	Int2.mRNA	CDC28	542	-1.742	0.380264532642627	1.475	0.171	2.152	0.011	
HighTLE	High	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	High.mRNA	CDC33	4516.5	-1.531	0.478123178242807	13.718	-0.085	30.061	0.067	
I2TLE	Low	NA	NA	Int1.mRNA	Low.mRNA	CDC34	280	-0.148	0.371303121791511	3.746	-0.11	0.035	NA	
LowTLE	High	LowProtSyn	LowProtSyn.mRNA	Int2.mRNA	Int2.mRNA	CDC36	110	1.152	0.336543361952459	1.628	-0.179	551.584	0.004	
I1TLE	High	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	Int1.mRNA	CDC37	448.5	-0.88	0.417295265082495	2.539	-0.114	37.169	0.321	
I1TLE	Intermediate2	NA	NA	Low.mRNA	Low.mRNA	CDC39	444.5	-1.016	0.384749450825827	0.785	0.068	3.24	NA	
HighTLE	Intermediate2	HighProtSyn	HighProtSyn.mRNA	High.mRNA	NA	CDC48	2023	1.142	0.473265334595505	10.145	-0.03	2.922	0.417	
I2TLE	Intermediate2	NA	NA	Int2.mRNA	Low.mRNA	CDC50	78.5	1.422	0.350706167440613	1.305	0.024	4.008	NA	
I1TLE	High	IntProtSyn	I2ProtSyn.mRNA	Low.mRNA	NA	CDC53	111	0.076	0.386273700166489	0.147	-0.426	106.911	0.024	
LowTLE	Low	NA	NA	Int2.mRNA	Low.mRNA	CDC55	112	0.466	0.339432063511161	1.654	-0.088	0.215	NA	
HighTLE	Low	NA	NA	Int1.mRNA	High.mRNA	CDC60	3516.5	-0.474	0.463668214992518	3.443	-0.109	0.936	NA	
I2TLE	Intermediate1	LowProtSyn	LowProtSyn.mRNA	Low.mRNA	Low.mRNA	CDC73	248.5	2.049	0.351305984591555	0.819	-0.019	5.043	0.009	
LowTLE	High	NA	NA	Int2.mRNA	NA	CDD1	118.5	-0.277	0.323702838580427	1.911	-0.134	396.744	NA	
I2TLE	High	NA	NA	Int2.mRNA	NA	CEG1	81	0.709	0.353857754594961	1.039	-0.148	374.365	NA	
I2TLE	Intermediate2	IntProtSyn	I1ProtSyn.mRNA	Int2.mRNA	Low.mRNA	CET1	78.5	2.623	0.371342824280887	1.026	-0.001	3.731	0.048	
LowTLE	High	NA	NA	Low.mRNA	NA	CEX1	161.5	-2.574	0.33568943127673	0.408	-0.169	14.547	NA	
HighTLE	Intermediate1	NA	NA	High.mRNA	NA	CGR1	449	-0.786	0.491502548871059	6.574	-0.027	11.221	NA	
I2TLE	Low	NA	NA	High.mRNA	NA	CHA1	1002.5	8.779	0.373499617828918	5.897	0.282	1.099	NA	
HighTLE	High	HighProtSyn	HighProtSyn.mRNA	Int2.mRNA	NA	CHC1	1657.5	1.659	0.448280559347991	1.263	-0.205	63.939	0.444	
I1TLE	Low	NA	NA	Low.mRNA	Low.mRNA	CHD1	177.5	0.39	0.387784647790547	0.579	-0.037	0.525	NA	
I2TLE	Intermediate2	NA	NA	Int2.mRNA	High.mRNA	CHO2	210	-0.511	0.369969285222953	1.835	0.08	2.801	NA	
LowTLE	High	NA	NA	Low.mRNA	NA	CHS7	302.5	-0.83	0.332336429886385	0.641	-0.115	14.793	NA	
HighTLE	High	IntProtSyn	LowProtSyn.mRNA	Int1.mRNA	NA	CHZ1	200	-1	0.500047766242427	2.252	-0.104	22.137	0.013	
LowTLE	Intermediate1	LowProtSyn	LowProtSyn.mRNA	Int2.mRNA	NA	CIA2	72.5	1.314	0.33492629243531	1.23	0.012	5.398	0.002	
HighTLE	Intermediate1	IntProtSyn	I2ProtSyn.mRNA	High.mRNA	NA	CIC1	649.5	0.354	0.438843488314192	4.725	-0.049	9.236	0.017	
I1TLE	High	HighProtSyn	I1ProtSyn.mRNA	Int2.mRNA	NA	CIR1	366	1.031	0.416510215397383	1.557	-0.124	57.995	0.065	
I1TLE	High	NA	NA	Int2.mRNA	NA	CIR2	192.5	0.223	0.380120139987203	1.23	-0.153	233.867	NA	
HighTLE	Low	NA	NA	Int1.mRNA	Int2.mRNA	CIT1	356	5.807	0.427847044591864	2.106	0.01	0.208	NA	
I2TLE	High	NA	NA	Int1.mRNA	Int2.mRNA	CKA1	415	-2.419	0.378815772244039	2.781	-0.122	45.065	NA	
I1TLE	High	NA	NA	Int1.mRNA	Int1.mRNA	CKA2	462	-1.654	0.398029644092619	3.693	-0.144	62.339	NA	
I2TLE	Intermediate1	IntProtSyn	I2ProtSyn.mRNA	Int1.mRNA	Int1.mRNA	CKB1	197.5	0.365	0.359931825912249	3.039	-0.123	6.304	0.017	
LowTLE	Low	NA	NA	Int1.mRNA	Int2.mRNA	CKB2	258	-1.1	0.335017647447436	3.061	-0.109	0.874	NA	
I2TLE	High	NA	NA	Low.mRNA	Low.mRNA	CKI1	112	0.427	0.374056205723064	0.697	-0.129	54.261	NA	
LowTLE	Low	NA	NA	Low.mRNA	NA	CLA4	82	-1.652	0.337063893624896	0.606	0.013	0.872	NA	
HighTLE	Intermediate1	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	Int1.mRNA	CLC1	601	1.427	0.439724094779359	5.046	-0.046	12.728	0.05	
HighTLE	Intermediate1	HighProtSyn	I1ProtSyn.mRNA	Int1.mRNA	Int2.mRNA	CLU1	1682.5	0.049	0.426356110172367	2.611	-0.019	9.413	0.057	
I1TLE	Low	LowProtSyn	LowProtSyn.mRNA	Int1.mRNA	Low.mRNA	CMK2	209.5	3.56	0.385404334283764	2.801	0.288	1.218	0.002	
I2TLE	Intermediate1	NA	NA	Low.mRNA	Low.mRNA	CMP2	189	2.493	0.364007875073997	0.875	0.002	5.069	NA	
I2TLE	NA	NA	NA	NA	Low.mRNA	CNA1	200	0.05	0.363168967254844	NA	NA	NA	NA	
I1TLE	High	NA	NA	Int1.mRNA	High.mRNA	CNB1	304.5	-1.338	0.38576805722049	2.818	-0.107	15.808	NA	
I1TLE	Intermediate1	IntProtSyn	I2ProtSyn.mRNA	Int1.mRNA	NA	CNS1	273.5	0.189	0.416417721060636	2.501	-0.032	8.9	0.019	
I2TLE	Intermediate2	NA	NA	Low.mRNA	NA	COA4	76	1.708	0.364178917247939	0.551	0.068	2.349	NA	
I1TLE	Intermediate2	IntProtSyn	I2ProtSyn.mRNA	Int2.mRNA	NA	COA6	182.5	2.426	0.387312544685639	1.56	0.084	3.734	0.035	
I2TLE	Low	NA	NA	Low.mRNA	NA	COG1	97.5	0.969	0.357835446549779	0.028	0.687	0.043	NA	
I1TLE	High	NA	NA	Low.mRNA	NA	COG3	125.5	-1.304	0.389645736215336	0.405	-0.157	14.093	NA	
I2TLE	Intermediate2	NA	NA	Low.mRNA	NA	COG5	63.5	-3.077	0.361081228283081	0.921	0.009	1.999	NA	
I2TLE	Intermediate2	LowProtSyn	I2ProtSyn.mRNA	Low.mRNA	NA	COG6	118.5	1.745	0.363523146552548	0.994	0.022	3.212	0.02	
I1TLE	Intermediate2	NA	NA	Int2.mRNA	NA	COG8	100.5	-1.019	0.380838480964033	1.147	-0.057	4.33	NA	
HighTLE	Low	IntProtSyn	I2ProtSyn.mRNA	Int2.mRNA	NA	COP1	1290	-3.261	0.42421377336343	1.622	-0.105	0.631	0.039	
I2TLE	Low	NA	NA	Int2.mRNA	Low.mRNA	COQ1	89	3.364	0.354091744851959	1.038	-0.026	0.638	NA	
HighTLE	Intermediate1	NA	NA	Int1.mRNA	Int2.mRNA	COR1	297	2.708	0.463894945750488	2.564	-0.02	8.727	NA	
LowTLE	NA	NA	NA	NA	Int1.mRNA	COS1	197.5	1.204	0.338507745644032	NA	NA	NA	NA	
LowTLE	NA	NA	NA	NA	Int2.mRNA	COS6	274.5	4.652	0.327181930393159	NA	NA	NA	NA	
LowTLE	NA	NA	NA	NA	Low.mRNA	COS8	61	-1.625	0.32656361993874	NA	NA	NA	NA	
I2TLE	Intermediate1	LowProtSyn	LowProtSyn.mRNA	Int1.mRNA	Low.mRNA	COT1	207	4.132	0.354856955928671	2.027	-0.07	5.428	0.012	
I2TLE	Intermediate2	IntProtSyn	LowProtSyn.mRNA	Int1.mRNA	Int1.mRNA	COX14	138	1.546	0.375695021520261	2.245	-0.063	4.275	0.008	
I1TLE	Intermediate2	NA	NA	Int2.mRNA	Int2.mRNA	COX15	359	1.884	0.385938526781311	1.555	0.004	4.282	NA	
HighTLE	Intermediate1	LowProtSyn	LowProtSyn.mRNA	Int1.mRNA	Int2.mRNA	COX17	1195	-2.16	0.473153413953616	2.043	0.002	4.971	0.001	
LowTLE	NA	NA	NA	NA	NA	COX19	343.5	-1.665	0.343380865303047	NA	NA	NA	NA	
LowTLE	NA	NA	NA	NA	NA	COX23	62.5	-1.633	0.318587939677649	NA	NA	NA	NA	
I1TLE	NA	NA	NA	NA	High.mRNA	COX4	367.5	13.084	0.417182107788208	NA	NA	NA	NA	
I1TLE	High	NA	NA	Int1.mRNA	Int2.mRNA	COX5A	253.5	2.739	0.385362032344191	2.149	-0.075	16.915	NA	
HighTLE	NA	IntProtSyn	I1ProtSyn.mRNA	NA	Int2.mRNA	COX6	555	5.882	0.447602465311404	NA	NA	NA	0.045	
I1TLE	High	NA	NA	Int2.mRNA	NA	COX7	261	2.168	0.396339649806898	1.814	-0.149	119.627	NA	
HighTLE	High	NA	NA	Int1.mRNA	High.mRNA	COX8	89	4.587	0.425259379904809	3.141	-0.087	16.067	NA	
I2TLE	High	NA	NA	Int2.mRNA	NA	COY1	95.5	0.032	0.361015024148238	1.178	-0.077	15.356	NA	
I1TLE	NA	IntProtSyn	I1ProtSyn.mRNA	NA	Int2.mRNA	CPA1	171	4.236	0.41017777395618	NA	NA	NA	0.059	
HighTLE	Low	NA	NA	Int2.mRNA	Low.mRNA	CPA2	821.5	9.583	0.423825771139198	1.273	0.496	0.704	NA	
HighTLE	NA	HighProtSyn	HighProtSyn.mRNA	NA	NA	CPR1	6004	0.087	0.587862787035978	NA	NA	NA	0.384	
HighTLE	Low	HighProtSyn	I1ProtSyn.mRNA	Int1.mRNA	NA	CPR5	112.5	3.849	0.441651583444354	3.965	-0.086	0.899	0.054	
HighTLE	Intermediate2	NA	NA	High.mRNA	NA	CPR6	1053	4.12	0.43906501718341	6.318	0.101	4.463	NA	
I1TLE	Low	NA	NA	Int2.mRNA	Int1.mRNA	CPR7	154	2.406	0.393896948950182	1.175	-0.122	0.753	NA	
I2TLE	Intermediate1	NA	NA	Int2.mRNA	Low.mRNA	CPR8	153	-0.076	0.360059451111136	1.722	-0.071	6.417	NA	
I1TLE	Low	IntProtSyn	I2ProtSyn.mRNA	Int1.mRNA	NA	CRH1	163.5	2.992	0.40191772626094	3.622	0.433	0.628	0.025	
I1TLE	Intermediate2	IntProtSyn	I2ProtSyn.mRNA	Int2.mRNA	NA	CRM1	396.5	9.536	0.410735870840754	1.211	0.15	2.189	0.042	
I1TLE	High	IntProtSyn	I1ProtSyn.mRNA	Int1.mRNA	Int1.mRNA	CRN1	391.5	2.248	0.390518462626491	2.272	-0.09	17.876	0.057	
I1TLE	Intermediate1	NA	NA	Int1.mRNA	NA	CRP1	683.5	-1.197	0.411780048364505	3.173	0.049	5.15	NA	
LowTLE	Intermediate1	NA	NA	Low.mRNA	Low.mRNA	CRZ1	74.5	-1.569	0.34586787480159	0.787	-0.079	8.029	NA	
I2TLE	High	NA	NA	Int1.mRNA	Int2.mRNA	CSG2	462	-0.224	0.352262318497521	3.155	-0.099	35.459	NA	
LowTLE	Low	NA	NA	Low.mRNA	Low.mRNA	CSI2	275.5	3.144	0.323244298090784	0.779	0.979	0.079	NA	
LowTLE	Low	NA	NA	Int1.mRNA	NA	CSL4	230.5	-0.461	0.347138515501272	2.738	-0.076	0.794	NA	
HighTLE	Intermediate1	IntProtSyn	I1ProtSyn.mRNA	Int1.mRNA	NA	CSR1	292	0.595	0.424583121231989	2.478	0.027	4.784	0.095	
LowTLE	Low	NA	NA	Int2.mRNA	NA	CTI6	65	-0.635	0.324068063142625	1.058	-0.078	1.425	NA	
I2TLE	High	NA	NA	Low.mRNA	Low.mRNA	CTK3	85	2.981	0.353782275975474	0.751	-0.113	23.38	NA	
LowTLE	Low	NA	NA	High.mRNA	Int2.mRNA	CTR1	881.5	1.026	0.338928456884261	4.826	0.329	1.696	NA	
LowTLE	NA	NA	NA	NA	NA	CTR2	118.5	1.174	0.321894758472748	NA	NA	NA	NA	
I2TLE	Intermediate1	NA	NA	Low.mRNA	Low.mRNA	CTR86	90	-1.286	0.359907315871505	0.546	-0.074	5.055	NA	
I1TLE	Intermediate1	LowProtSyn	LowProtSyn.mRNA	Int2.mRNA	NA	CTR9	326.5	-0.45	0.399099112829985	1.08	-0.02	6.393	0.002	
I2TLE	Intermediate1	NA	NA	Low.mRNA	NA	CUE3	97	-1.102	0.362673223333959	0.611	-0.084	6.823	NA	
LowTLE	NA	NA	NA	NA	NA	CUE4	186.5	2.031	0.287899556559545	NA	NA	NA	NA	
I2TLE	High	HighProtSyn	HighProtSyn.mRNA	Int2.mRNA	NA	CUE5	297.5	-0.727	0.379242655763599	1.825	-0.103	14.756	0.13	
I2TLE	Intermediate2	LowProtSyn	LowProtSyn.mRNA	High.mRNA	NA	CUZ1	137.5	0.123	0.365126615473267	4.63	-0.067	4.3	0.012	
LowTLE	Intermediate2	NA	NA	Int2.mRNA	NA	CWC21	70.5	-1.59	0.231658861736503	1.241	0.03	3.417	NA	
LowTLE	Intermediate1	NA	NA	Low.mRNA	NA	CWC25	65.5	-0.516	0.320163358392135	0.701	-0.093	5.733	NA	
I2TLE	Intermediate1	NA	NA	Low.mRNA	NA	CWH43	83.5	0.919	0.364470641811227	0.822	-0.06	8.341	NA	
HighTLE	Low	NA	NA	Int1.mRNA	NA	CWP1	1006	22.726	0.452202284898114	2.562	1.019	0.252	NA	
HighTLE	Low	NA	NA	High.mRNA	NA	CWP2	7350	2.887	0.591172992579974	70.367	0.541	1.044	NA	
HighTLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	Int1.mRNA	CYB5	263	1.108	0.460645203064379	2.944	-0.024	7.386	0.111	
HighTLE	Low	LowProtSyn	LowProtSyn.mRNA	Low.mRNA	Int2.mRNA	CYC1	160	7.206	0.483067209131389	0.716	0.142	0.74	0.002	
I2TLE	Low	IntProtSyn	I1ProtSyn.mRNA	Low.mRNA	NA	CYM1	139	0.164	0.365276956403098	0.51	0.004	1.352	0.056	
LowTLE	Intermediate2	NA	NA	Low.mRNA	Low.mRNA	CYR1	72	1.114	0.325886017679138	0.705	0.099	1.712	NA	
HighTLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	High.mRNA	High.mRNA	CYS3	1838	-0.855	0.483799613386017	16.742	0.001	10.888	0.229	
HighTLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	High.mRNA	High.mRNA	CYS4	3327	0.275	0.479573055613013	22.415	-0.034	6.149	0.454	
HighTLE	Intermediate2	NA	NA	Int2.mRNA	Low.mRNA	CYT1	218.5	7.929	0.438180960126395	1.419	0.052	1.892	NA	
LowTLE	Intermediate2	IntProtSyn	I2ProtSyn.mRNA	Int2.mRNA	NA	DAD1	91.5	-0.803	0.341277579317155	1.41	-0.038	2.364	0.029	
LowTLE	Intermediate1	NA	NA	Int1.mRNA	NA	DAD4	128	0.124	0.256291044263917	2.347	-0.023	6.672	NA	
HighTLE	Low	NA	NA	Int1.mRNA	NA	DAK1	511.5	7.973	0.432889279959043	2.062	-0.105	0.45	NA	
LowTLE	Intermediate2	NA	NA	Int2.mRNA	NA	DAP1	198	2.447	0.343431109525231	1.658	0.084	2.755	NA	
I2TLE	NA	NA	NA	NA	NA	DAS2	104.5	1.737	0.37369775248741	NA	NA	NA	NA	
LowTLE	Low	NA	NA	Low.mRNA	Int2.mRNA	DAT1	106.5	0.825	0.320311501468033	0.893	-0.088	0.07	NA	
I2TLE	Intermediate2	NA	NA	Int2.mRNA	Low.mRNA	DBF2	160	-0.469	0.361471891895921	1.485	0.095	2.304	NA	
HighTLE	Intermediate1	HighProtSyn	I2ProtSyn.mRNA	High.mRNA	High.mRNA	DBP2	3123.5	2.007	0.496674958247276	34.659	0.01	5.122	0.035	
HighTLE	Low	NA	NA	High.mRNA	High.mRNA	DBP3	880.5	1.355	0.46027241120328	6.433	-0.082	1.22	NA	
HighTLE	High	HighProtSyn	I1ProtSyn.mRNA	Int1.mRNA	Int2.mRNA	DBP5	604.5	-1.991	0.429292458863216	3.67	-0.131	60.14	0.094	
I1TLE	High	NA	NA	Int2.mRNA	Low.mRNA	DBP6	312	-0.183	0.386768426534008	1.854	-0.107	23.639	NA	
I2TLE	Low	NA	NA	Int1.mRNA	Low.mRNA	DBP8	208.5	-0.065	0.355870059665744	2.555	0.062	1.364	NA	
LowTLE	High	NA	NA	Low.mRNA	Int1.mRNA	DCP1	148.5	-0.521	0.338032014214135	0.046	-0.721	39.365	NA	
LowTLE	Intermediate2	LowProtSyn	LowProtSyn.mRNA	Low.mRNA	NA	DCP2	355.5	-2.038	0.349807958269904	0.97	-0.059	2.371	0.01	
HighTLE	Intermediate1	NA	NA	Int2.mRNA	NA	DCS1	85.5	2.565	0.438994442586257	1.482	-0.001	6.471	NA	
I1TLE	Intermediate1	NA	NA	Int2.mRNA	NA	DCW1	403	-0.687	0.395082781531904	1.13	-0.094	12.019	NA	
I2TLE	Intermediate1	IntProtSyn	I1ProtSyn.mRNA	Int2.mRNA	Low.mRNA	DDI1	63	5.828	0.360550591378262	1.538	-0.043	6.829	0.077	
I1TLE	Intermediate1	LowProtSyn	LowProtSyn.mRNA	Int2.mRNA	NA	DDP1	216.5	0.582	0.386592846176929	1.849	-0.072	10.315	0.004	
HighTLE	NA	HighProtSyn	HighProtSyn.mRNA	NA	NA	DDR48	201.5	12.466	0.463219374726346	NA	NA	NA	1.307	
HighTLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	NA	DEF1	3520	-0.876	0.420766917450337	2.641	-0.015	6.913	0.229	
I2TLE	Intermediate2	NA	NA	Int2.mRNA	Low.mRNA	DEG1	102.5	0.655	0.363012213759646	1.031	0.03	3.566	NA	
I2TLE	Intermediate2	NA	NA	Int2.mRNA	NA	DET1	79.5	-0.759	0.367909538768684	1.306	0.024	4.265	NA	
I2TLE	Low	NA	NA	Int2.mRNA	Int2.mRNA	DFG5	343	-0.879	0.361824324816826	1.531	-0.095	0.721	NA	
LowTLE	Intermediate2	NA	NA	Low.mRNA	NA	DFM1	97.5	-0.83	0.302769711220505	0.818	-0.076	3.506	NA	
LowTLE	Intermediate1	IntProtSyn	I2ProtSyn.mRNA	Int2.mRNA	Low.mRNA	DFR1	102.5	-0.548	0.337835116006612	1.161	-0.08	8.929	0.042	
I1TLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	Int1.mRNA	DHH1	619.5	-2.422	0.404475455998771	2.004	-0.02	7.469	0.115	
I2TLE	Low	NA	NA	Int2.mRNA	NA	DIC1	94.5	3.204	0.373631645941271	1.413	0.436	0.565	NA	
I1TLE	Low	IntProtSyn	LowProtSyn.mRNA	Int1.mRNA	NA	DID2	230	0.655	0.389640193205098	3.103	-0.118	0.03	0.012	
LowTLE	Intermediate1	LowProtSyn	LowProtSyn.mRNA	Int2.mRNA	NA	DID4	71	3.187	0.346845315895001	1.794	-0.038	5.791	0.004	
LowTLE	High	IntProtSyn	I2ProtSyn.mRNA	Int1.mRNA	Int1.mRNA	DIG1	68	-2.727	0.31422091935042	2.617	-0.143	49.695	0.023	
I1TLE	Low	NA	NA	Int1.mRNA	NA	DIP5	1699.5	3.656	0.395149031985377	2.105	0.396	0.838	NA	
I1TLE	Low	IntProtSyn	I1ProtSyn.mRNA	Int2.mRNA	Int1.mRNA	DIS3	170	-1.409	0.386637168746147	1.106	0.027	1.451	0.046	
I1TLE	Intermediate1	LowProtSyn	LowProtSyn.mRNA	Int2.mRNA	Int1.mRNA	DJP1	267.5	-0.769	0.40703483825249	1.93	-0.111	11.743	0.003	
I1TLE	High	NA	NA	Int2.mRNA	NA	DLD2	237	3.527	0.395890148935341	1.526	-0.161	214.776	NA	
I1TLE	Intermediate2	NA	NA	High.mRNA	NA	DLD3	1188.5	5.337	0.410672523112136	11.178	0.08	4.044	NA	
LowTLE	Intermediate1	NA	NA	Int2.mRNA	NA	DLS1	72.5	1.068	0.325229804361704	1.046	-0.026	5.795	NA	
I2TLE	Intermediate2	NA	NA	Low.mRNA	NA	DNF1	160	-0.468	0.377791877964551	0.92	-0.018	2.713	NA	
I2TLE	NA	NA	NA	NA	NA	DNF2	171.5	-0.393	0.364452641051792	NA	NA	NA	NA	
LowTLE	Intermediate1	LowProtSyn	LowProtSyn.mRNA	Int2.mRNA	Int1.mRNA	DOA1	104	-2.566	0.342606621792779	1.283	-0.093	8.103	0.005	
I2TLE	Intermediate2	IntProtSyn	I2ProtSyn.mRNA	Int2.mRNA	Low.mRNA	DOG2	71	2.02	0.37537689852186	1.59	0.124	2.893	0.024	
I2TLE	Intermediate2	NA	NA	Int2.mRNA	Low.mRNA	DOM34	376	-0.997	0.376934308551452	1.709	-0.038	3.804	NA	
LowTLE	Intermediate2	NA	NA	Low.mRNA	NA	DOP1	145	-1.207	0.333820431802154	0.971	0.027	3.03	NA	
I1TLE	High	LowProtSyn	LowProtSyn.mRNA	Int2.mRNA	Int1.mRNA	DOS2	180	1.146	0.404160657932991	1.039	-0.167	111.911	0.005	
I2TLE	Intermediate2	LowProtSyn	LowProtSyn.mRNA	Int2.mRNA	Int2.mRNA	DOT6	200	1.624	0.360641222730604	1.145	0.143	1.99	0.001	
I1TLE	Intermediate1	NA	NA	Int2.mRNA	NA	DPH1	141	-0.844	0.389769594353207	1.702	-0.001	5.257	NA	
LowTLE	Intermediate2	NA	NA	Int1.mRNA	Int2.mRNA	DPH2	214	0.585	0.346375011061172	2.877	0	1.844	NA	
I1TLE	High	NA	NA	High.mRNA	Int1.mRNA	DPH5	354.5	0.265	0.408818194778215	5.076	-0.142	54.051	NA	
I2TLE	Intermediate1	NA	NA	Low.mRNA	NA	DPH6	61	-2.265	0.369510781680577	0.813	-0.091	7.487	NA	
I2TLE	High	NA	NA	Int2.mRNA	NA	DPL1	275.5	-1.051	0.375843579548282	1.683	-0.116	14.575	NA	
HighTLE	Intermediate2	NA	NA	High.mRNA	NA	DPS1	1555	-1.877	0.487650159765529	9.373	-0.122	3.164	NA	
I1TLE	Low	HighProtSyn	I1ProtSyn.mRNA	Low.mRNA	NA	DRE2	212.5	0.229	0.388188247608396	0.337	-0.037	1.595	0.089	
HighTLE	Intermediate1	IntProtSyn	LowProtSyn.mRNA	High.mRNA	Int2.mRNA	DRS1	455.5	-0.817	0.440726503366268	6.758	-0.073	9.844	0.007	
